,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Nabannagan,ZA,1562801651,-33.02,27.91,283.768,88,0,1.33
84,Nabannagan,AO,1562801652,-14.92,13.49,285.268,76,49,0.55
85,Nabannagan,US,1562801440,36.04,-114.98,314.82,7,1,5.7
86,Nabannagan,ID,1562801655,-3.31,129.0,297.968,82,94,6.92
87,Nabannagan,GL,1562801656,60.14,-45.24,277.868,90,42,2.55
88,Nabannagan,RU,1562801657,65.58,-170.99,296.768,32,4,2.62
89,Nabannagan,US,1562801658,33.19,-82.53,303.15,79,1,3.6
90,Nabannagan,ZA,1562801490,-30.97,22.13,284.868,29,0,4.06
91,Nabannagan,CA,1562801661,66.15,-65.72,289.15,63,40,3.1
92,Nabannagan,NZ,1562801283,-46.28,169.85,286.48,67,51,0.89
93,Nabannagan,PT,1562801495,37.72,-25.43,293.15,82,20,0.5
94,Nabannagan,GY,1562801414,6.8,-58.16,301.15,78,40,5.1
95,Nabannagan,RU,1562801665,62.26,151.67,296.268,41,51,1.81
96,Nabannagan,RU,1562801667,69.7,170.27,282.068,68,34,4.22
97,Nabannagan,US,1562801457,60.79,-161.76,296.15,64,20,3.6
98,Nabannagan,IN,1562801669,30.62,78.32,294.368,83,4,2.13
99,Nabannagan,NG,1562801670,4.92,6.26,296.168,95,100,1.69
100,Nabannagan,FO,1562801672,62.16,-7.17,284.15,93,100,4.6
101,Nabannagan,NZ,1562801673,-35.17,173.16,288.71,100,0,3.86
102,Nabannagan,FR,1562801674,44.65,-1.18,294.26,88,0,0.5
103,Nabannagan,AR,1562801478,-38.31,-60.23,282.568,76,42,1.71
104,Nabannagan,PY,1562801519,-23.49,-58.8,293.868,59,1,3.0
105,Nabannagan,RU,1562801466,71.98,102.47,285.168,56,59,1.77
106,Nabannagan,AU,1562801679,-41.05,145.91,283.71,84,68,3.58
107,Nabannagan,CA,1562801680,50.7,-127.42,292.15,88,90,3.1
108,Nabannagan,AU,1562801681,-34.85,139.16,287.15,76,40,8.2
109,Nabannagan,NO,1562801683,71.03,27.85,280.168,75,93,2.74
110,Nabannagan,NP,1562801684,27.71,85.32,294.15,100,75,2.6
111,Nabannagan,SE,1562801685,62.49,17.33,284.26,93,85,1.5
112,Nabannagan,PF,1562801686,-17.53,-149.33,301.15,65,20,10.3
113,Nabannagan,FO,1562801453,62.23,-6.59,284.15,93,99,4.6
114,Nabannagan,AU,1562801623,-42.88,147.33,285.37,61,40,5.1
115,Nabannagan,BR,1562801690,-30.17,-50.22,286.168,77,100,0.57
116,Nabannagan,AO,1562801691,-15.19,12.15,292.568,80,84,4.27
117,Nabannagan,CA,1562801470,63.75,-68.52,286.15,66,75,2.6
118,Nabannagan,CA,1562801693,49.78,-74.86,297.15,47,75,3.1
119,Nabannagan,RU,1562801695,71.97,114.09,287.468,57,84,3.25
120,Nabannagan,MN,1562801490,47.92,106.92,294.15,43,75,1.0
121,Nabannagan,SA,1562801697,25.02,37.27,302.068,76,0,4.62
122,Nabannagan,PH,1562801698,17.41,121.44,296.968,68,57,0.56
123,Nabannagan,JP,1562801481,26.12,127.67,303.15,84,75,5.7
124,Nabannagan,AR,1562801296,-46.43,-67.52,279.168,82,95,1.0
125,Nabannagan,LY,1562801702,29.16,16.14,301.368,29,0,3.28
126,Nabannagan,CA,1562801703,63.59,-135.9,300.15,22,75,1.5
127,Nabannagan,SO,1562801704,4.12,43.89,295.968,80,6,8.0
128,Nabannagan,RU,1562801705,65.44,52.15,281.168,97,100,3.92
129,Nabannagan,CL,1562801707,-29.95,-71.34,283.15,100,0,2.1
130,Nabannagan,ZA,1562801460,-34.53,20.04,283.15,87,0,0.5
131,Nabannagan,US,1562801445,37.17,-99.65,304.26,58,15,2.24
132,Nabannagan,AU,1562801710,-43.03,147.26,285.37,61,40,5.1
